Make,Type,Color,Sticker
Saturn,Sedan,Grey,FALSE
Buick,Sedan,Grey,FALSE
Chevy,Truck,Red,FALSE
Chevy,Van,Blue,TRUE
Ford,SUV,Brown,FALSE
Pontiac,SUV,Brown,FALSE
Ford,SUV,Brown,FALSE
Jeep,SUV,White,TRUE
Ford,Truck,Red,FALSE
Toyota,SUV,Grey,FALSE
Mazda,SUV,Grey,FALSE
Chevy,Truck,Brown,TRUE
Lincoln,SUV,Grey,TRUE
Toyota,SUV,Black,FALSE
Toyota,SUV,Blue,FALSE
Toyota,Van,Brown,FALSE
Saturn,SUV,Blue,FALSE
Toyota,Sedan,Red,FALSE
Toyota,SUV,Grey,FALSE
Honda,Sedan,White,FALSE
Subaru,SUV,Blue,FALSE
Ford,Truck,Green,TRUE
Toyota,Truck,Black,TRUE
GMC,Van,Brown,FALSE
Hyundai,Sedan,Black,FALSE
Ford,Truck,Black,FALSE
Jeep,SUV,White,FALSE
Buick,SUV,Brown,FALSE
Buick,SUV,Brown,FALSE
Chevy,SUV,Green,TRUE
Jeep,SUV,Grey,FALSE
Chevy,Truck,Brown,TRUE
Chevy,Sedan,Grey,FALSE
Ford,SUV,Grey,TRUE
Ford,Truck,Green,FALSE
Toyota,Sedan,White,FALSE
VW,Sedan,Black,FALSE
Ford,SUV,Green,FALSE
Jeep,SUV,White,FALSE
Chevy,Sedan,White,FALSE
Chevy,SUV,Brown,FALSE
Pontiac,SUV,Red,FALSE
Chevy,Truck,Red,FALSE
Mazda,Truck,White,FALSE
Chevy,SUV,Black,FALSE
Toyota,SUV,Blue,FALSE
Chevy,Sedan,Red,FALSE
Chevy,SUV,Grey,FALSE
Ford,Sedan,Blue,FALSE
Chrysler,Sedan,Green,FALSE
Toyota,Sedan,Red,FALSE
Pontiac,Sedan,White,FALSE
Chevy,Truck,Blue,FALSE
Chevy,Van,Grey,FALSE
Chevy,Van,Blue,TRUE
Buick,Sedan,White,FALSE
Chevy,Truck,Red,FALSE
Jeep,SUV,Blue,FALSE
Toyota,Van,Grey,FALSE
GMC,SUV,Grey,TRUE
Ford,Sedan,Black,FALSE
Chevy,Sedan,Grey,FALSE
Chevy,Sedan,Red,FALSE
VW,SUV,Brown,TRUE
Chrysler,Sedan,Grey,FALSE
Chevy,Truck,Red,TRUE
Ford,SUV,Brown,TRUE
Chevy,SUV,Brown,FALSE
Chevy,Truck,Red,FALSE
Ford,Truck,Grey,TRUE
Ford,Truck,Grey,FALSE
Chevy,Truck,Black,TRUE
GMC,SUV,Brown,TRUE
Jeep,SUV,Blue,FALSE
Jeep,SUV,Blue,FALSE
Ford,SUV,Grey,TRUE
Dodge,Truck,Grey,TRUE
Chevy,Sedan,Grey,FALSE
GMC,Van,Brown,FALSE
Ford,SUV,Grey,FALSE
Ford,Sedan,Green,FALSE
GMC,SUV,Red,FALSE
Dodge,Van,Blue,TRUE
Chevy,Truck,Blue,FALSE
Buick,Sedan,White,FALSE
Toyota,Truck,Black,FALSE
VW,Sedan,Grey,FALSE
Chevy,SUV,Brown,FALSE
Chevy,Truck,White,FALSE
Chevy,Truck,White,FALSE
Cadillac,Sedan,White,FALSE
Buick,Sedan,Red,TRUE
Chevy,Truck,Blue,FALSE
Ford,Truck,Blue,FALSE
Ford,Sedan,Black,FALSE
Jeep,SUV,White,TRUE
GMC,Truck,Grey,TRUE
Jeep,SUV,Black,FALSE
Ford,Sedan,Blue,FALSE
Chevy,Sedan,Grey,TRUE
Jeep,SUV,Red,FALSE
Chevy,Sedan,Black,TRUE
Ford,SUV,Black,FALSE
Buick,SUV,White,FALSE
Dodge,Truck,Green,FALSE
Dodge,Truck,White,FALSE
Chevy,Sedan,Yellow,FALSE
Jeep,SUV,Orange,TRUE
Ford,SUV,White,FALSE
Chevy,Truck,Grey,FALSE
Chevy,Truck,White,FALSE
Buick,Sedan,Brown,FALSE
Dodge,Truck,White,TRUE
Chevy,Truck,Blue,FALSE
Toyota,Sedan,Blue,FALSE
Ford,Van,White,FALSE
Chevy,SUV,Red,TRUE
Ford,Sedan,White,TRUE